Date,Medicine_Name,Category,Supplier,Units_Purchased,Units_Sold,Current_Stock,Expiry_Date,Is_Shortage
5/6/2025,Paracetamol,Antihistamine,LifeLine Pharma,63,166,-103,7/31/2026,0
6/15/2025,Amoxicillin,Antihistamine,HealthCorp,57,175,0,2/18/2026,1
1/9/2025,Cetirizine,Antibiotic,PharmaPlus,131,141,0,5/5/2026,1
4/22/2025,Metformin,Antacid,LifeLine Pharma,28,233,0,4/1/2026,1
2/16/2025,Paracetamol,Antihistamine,PharmaPlus,84,163,-79,7/29/2025,0
5/8/2025,Ibuprofen,Antacid,HealthCorp,49,53,0,9/2/2025,1
5/24/2025,Ciprofloxacin,Antidiabetic,HealthCorp,30,203,0,12/21/2026,1
4/3/2025,Cetirizine,Painkiller,PharmaPlus,129,248,0,6/7/2026,1
3/19/2025,Paracetamol,Antihistamine,PharmaPlus,194,249,-55,1/6/2027,0
5/15/2025,Azithromycin,Antihistamine,MediCare Ltd.,34,220,0,4/19/2027,1
5/18/2025,Metformin,Antihistamine,LifeLine Pharma,85,170,0,1/23/2027,1
6/11/2025,Aspirin,Painkiller,CareWell Distributors,117,215,0,1/13/2026,1
3/10/2025,Paracetamol,Antacid,HealthCorp,140,268,-110,3/4/2026,1
6/8/2025,Cetirizine,Painkiller,MediCare Ltd.,124,152,0,7/29/2026,1
1/18/2025,Amoxicillin,Antacid,LifeLine Pharma,141,18,123,8/16/2026,0
5/21/2025,Metformin,Antacid,PharmaPlus,74,221,0,10/22/2026,1
1/15/2025,Cetirizine,Painkiller,HealthCorp,84,194,0,5/25/2026,1
2/6/2025,Azithromycin,Antacid,CareWell Distributors,20,178,0,12/23/2026,1
6/12/2025,Omeprazole,Painkiller,LifeLine Pharma,62,38,24,10/17/2025,0
1/28/2025,Amoxicillin,Antidiabetic,HealthCorp,145,53,92,2/20/2026,0
5/14/2025,Ibuprofen,Antacid,MediCare Ltd.,45,187,0,10/22/2025,1
4/20/2025,Omeprazole,Antibiotic,MediCare Ltd.,148,176,0,11/30/2025,1
3/16/2025,Loratadine,Antacid,PharmaPlus,167,24,143,2/7/2027,0
1/8/2025,Ibuprofen,Antacid,LifeLine Pharma,97,157,0,9/4/2026,1
1/9/2025,Loratadine,Antibiotic,MediCare Ltd.,162,25,137,5/29/2025,0
3/18/2025,Amoxicillin,Antibiotic,LifeLine Pharma,101,211,0,9/8/2025,1
5/18/2025,Aspirin,Antidiabetic,HealthCorp,147,202,0,10/27/2026,1
3/31/2025,Loratadine,Antihistamine,MediCare Ltd.,137,181,0,12/12/2025,1
4/21/2025,Azithromycin,Painkiller,HealthCorp,190,144,46,7/24/2025,0
3/22/2025,Omeprazole,Antacid,PharmaPlus,123,70,53,10/7/2026,0
4/9/2025,Ibuprofen,Painkiller,CareWell Distributors,158,157,1,12/20/2026,0
5/31/2025,Aspirin,Painkiller,LifeLine Pharma,160,101,59,7/20/2026,0
6/8/2025,Metformin,Antacid,CareWell Distributors,132,114,18,9/14/2025,0
3/25/2025,Ciprofloxacin,Antihistamine,CareWell Distributors,66,32,34,3/13/2026,0
6/12/2025,Azithromycin,Painkiller,LifeLine Pharma,192,11,181,1/8/2026,0
4/16/2025,Metformin,Painkiller,HealthCorp,105,151,0,4/5/2027,1
4/4/2025,Aspirin,Painkiller,CareWell Distributors,150,145,5,12/1/2025,0
5/12/2025,Metformin,Antidiabetic,CareWell Distributors,65,143,0,1/29/2026,1
4/12/2025,Paracetamol,Antacid,LifeLine Pharma,170,335,-110,8/24/2025,1
6/5/2025,Ciprofloxacin,Antihistamine,LifeLine Pharma,199,144,55,3/28/2026,0
4/4/2025,Loratadine,Antidiabetic,PharmaPlus,80,127,0,11/11/2025,1
1/2/2025,Metformin,Antibiotic,LifeLine Pharma,96,33,63,8/3/2026,0
6/10/2025,Loratadine,Antihistamine,LifeLine Pharma,186,182,4,3/22/2027,0
4/3/2025,Omeprazole,Painkiller,MediCare Ltd.,147,162,0,10/1/2025,1
5/1/2025,Loratadine,Antibiotic,CareWell Distributors,169,80,89,3/22/2026,0
2/26/2025,Cetirizine,Painkiller,PharmaPlus,157,246,0,4/23/2026,1
2/19/2025,Ibuprofen,Antacid,HealthCorp,70,111,0,6/17/2026,1
1/21/2025,Metformin,Antacid,PharmaPlus,155,183,0,10/30/2026,1
5/6/2025,Ciprofloxacin,Painkiller,LifeLine Pharma,104,217,0,12/6/2026,1
2/28/2025,Paracetamol,Antacid,MediCare Ltd.,136,253,-110,8/7/2026,1
4/21/2025,Ciprofloxacin,Antidiabetic,MediCare Ltd.,184,137,47,7/4/2026,0
2/9/2025,Paracetamol,Painkiller,LifeLine Pharma,164,175,-11,10/10/2025,0
4/27/2025,Azithromycin,Antidiabetic,HealthCorp,151,232,0,1/6/2026,1
6/28/2025,Azithromycin,Antacid,MediCare Ltd.,180,59,121,12/14/2026,0
3/23/2025,Ciprofloxacin,Antihistamine,LifeLine Pharma,173,95,78,1/20/2027,0
3/16/2025,Loratadine,Antacid,CareWell Distributors,53,103,0,12/26/2025,1
3/30/2025,Paracetamol,Antibiotic,PharmaPlus,177,260,-83,11/16/2025,0
3/18/2025,Omeprazole,Antihistamine,HealthCorp,109,178,0,4/4/2026,1
4/10/2025,Loratadine,Antidiabetic,LifeLine Pharma,106,107,0,1/22/2026,1
1/16/2025,Azithromycin,Antidiabetic,PharmaPlus,126,72,54,1/29/2026,0
2/22/2025,Omeprazole,Antibiotic,HealthCorp,54,199,0,8/18/2026,1
2/23/2025,Metformin,Painkiller,MediCare Ltd.,142,124,18,2/2/2027,0
4/30/2025,Ciprofloxacin,Antacid,CareWell Distributors,123,160,0,3/28/2027,1
4/16/2025,Metformin,Antibiotic,HealthCorp,182,58,124,2/5/2026,0
2/5/2025,Metformin,Antacid,LifeLine Pharma,74,197,0,1/10/2026,1
4/10/2025,Aspirin,Antidiabetic,HealthCorp,124,157,0,1/14/2026,1
3/15/2025,Cetirizine,Antacid,PharmaPlus,96,122,0,1/23/2027,1
4/8/2025,Ibuprofen,Antibiotic,MediCare Ltd.,96,232,0,10/20/2025,1
3/8/2025,Amoxicillin,Antihistamine,LifeLine Pharma,132,188,0,2/4/2026,1
1/19/2025,Loratadine,Painkiller,LifeLine Pharma,25,159,0,6/8/2025,1
1/7/2025,Azithromycin,Antihistamine,LifeLine Pharma,144,154,0,9/8/2026,1
2/23/2025,Loratadine,Antidiabetic,PharmaPlus,82,119,0,1/9/2027,1
5/20/2025,Ciprofloxacin,Antibiotic,LifeLine Pharma,47,158,0,10/18/2026,1
6/19/2025,Loratadine,Antacid,PharmaPlus,157,114,43,6/10/2026,0
2/19/2025,Metformin,Antidiabetic,HealthCorp,196,178,18,12/26/2026,0
6/18/2025,Ciprofloxacin,Antacid,LifeLine Pharma,107,238,0,4/23/2026,1
6/9/2025,Paracetamol,Antihistamine,CareWell Distributors,89,245,-110,10/5/2025,1
6/13/2025,Azithromycin,Antacid,MediCare Ltd.,74,187,0,10/4/2025,1
3/5/2025,Cetirizine,Antacid,PharmaPlus,186,207,0,11/11/2026,1
5/2/2025,Omeprazole,Antibiotic,LifeLine Pharma,144,18,126,11/10/2026,0
5/2/2025,Cetirizine,Painkiller,PharmaPlus,197,37,160,10/28/2025,0
5/3/2025,Loratadine,Painkiller,LifeLine Pharma,140,189,0,9/30/2025,1
3/24/2025,Cetirizine,Antibiotic,HealthCorp,199,245,0,4/4/2026,1
6/19/2025,Ibuprofen,Antihistamine,PharmaPlus,139,31,108,2/24/2027,0
1/24/2025,Omeprazole,Antihistamine,CareWell Distributors,197,120,77,12/3/2026,0
3/10/2025,Azithromycin,Antibiotic,HealthCorp,159,81,78,12/12/2026,0
5/6/2025,Azithromycin,Antibiotic,HealthCorp,193,88,105,11/1/2026,0
5/3/2025,Paracetamol,Antidiabetic,MediCare Ltd.,169,342,-110,2/15/2026,1
2/28/2025,Metformin,Antidiabetic,CareWell Distributors,56,106,0,11/13/2025,1
3/17/2025,Ibuprofen,Antacid,HealthCorp,79,91,0,1/19/2026,1
5/7/2025,Aspirin,Antacid,CareWell Distributors,117,126,0,8/10/2025,1
1/5/2025,Loratadine,Antibiotic,PharmaPlus,95,161,0,8/19/2025,1
4/29/2025,Cetirizine,Antihistamine,HealthCorp,27,140,0,4/10/2027,1
3/11/2025,Ciprofloxacin,Antihistamine,PharmaPlus,154,250,0,10/22/2026,1
2/15/2025,Ibuprofen,Antihistamine,LifeLine Pharma,71,180,0,4/11/2026,1
4/7/2025,Aspirin,Painkiller,PharmaPlus,77,129,0,7/16/2025,1
4/23/2025,Azithromycin,Painkiller,HealthCorp,67,201,0,1/20/2026,1
3/8/2025,Metformin,Painkiller,MediCare Ltd.,39,222,0,11/3/2026,1
1/12/2025,Paracetamol,Antacid,LifeLine Pharma,55,260,-110,1/9/2026,1
5/21/2025,Omeprazole,Antihistamine,PharmaPlus,42,96,0,9/14/2025,1
4/2/2025,Cetirizine,Antacid,LifeLine Pharma,150,41,109,7/23/2026,0
3/6/2025,Paracetamol,Antacid,CareWell Distributors,158,315,-110,9/19/2026,1
6/12/2025,Paracetamol,Antibiotic,MediCare Ltd.,130,282,-110,9/30/2025,1
3/14/2025,Aspirin,Antihistamine,HealthCorp,42,118,0,7/19/2025,1
5/26/2025,Ciprofloxacin,Antihistamine,PharmaPlus,92,196,0,10/3/2025,1
6/15/2025,Aspirin,Antibiotic,HealthCorp,30,109,0,5/14/2027,1
2/1/2025,Ciprofloxacin,Painkiller,LifeLine Pharma,103,89,14,9/25/2026,0
2/24/2025,Aspirin,Painkiller,PharmaPlus,191,246,0,4/7/2026,1
4/22/2025,Ciprofloxacin,Antidiabetic,MediCare Ltd.,72,225,0,12/23/2026,1
3/3/2025,Amoxicillin,Antidiabetic,PharmaPlus,159,193,0,9/29/2026,1
6/5/2025,Paracetamol,Painkiller,MediCare Ltd.,112,175,-63,3/20/2027,0
3/5/2025,Amoxicillin,Antihistamine,PharmaPlus,49,162,0,12/5/2026,1
4/27/2025,Amoxicillin,Antacid,CareWell Distributors,51,200,0,10/4/2025,1
1/30/2025,Aspirin,Antibiotic,PharmaPlus,91,92,0,4/25/2026,1
